Country,Year,Begin,End,Outcome,Region
Bangladesh,1996,1991,1996,Success,South Asia
Bangladesh,2009,2009,2009,Preempted transition,South Asia
Barbados,1944,1944,1961,Success,Latin America and Caribbean
Barbados,1945,1944,1961,Success,Latin America and Caribbean
Barbados,1946,1944,1961,Success,Latin America and Caribbean
Barbados,1947,1944,1961,Success,Latin America and Caribbean
Barbados,1948,1944,1961,Success,Latin America and Caribbean
Barbados,1949,1944,1961,Success,Latin America and Caribbean
Barbados,1950,1944,1961,Success,Latin America and Caribbean
Barbados,1951,1944,1961,Success,Latin America and Caribbean
Barbados,1952,1944,1961,Success,Latin America and Caribbean
Barbados,1953,1944,1961,Success,Latin America and Caribbean
Barbados,1954,1944,1961,Success,Latin America and Caribbean
Barbados,1955,1944,1961,Success,Latin America and Caribbean
Barbados,1956,1944,1961,Success,Latin America and Caribbean
Barbados,1957,1944,1961,Success,Latin America and Caribbean
Barbados,1958,1944,1961,Success,Latin America and Caribbean
Barbados,1959,1944,1961,Success,Latin America and Caribbean
Barbados,1960,1944,1961,Success,Latin America and Caribbean
Barbados,1961,1944,1961,Success,Latin America and Caribbean
Belarus,1991,1991,1994,Success,Europe and Central Asia
Belarus,1992,1991,1994,Success,Europe and Central Asia
Belarus,1993,1991,1994,Success,Europe and Central Asia
Belarus,1994,1991,1994,Success,Europe and Central Asia
Belgium,1919,1919,1921,Success,Europe and Central Asia
Belgium,1920,1919,1921,Success,Europe and Central Asia
Belgium,1921,1919,1921,Success,Europe and Central Asia
Belgium,1944,1944,1949,Success,Europe and Central Asia
Belgium,1945,1944,1949,Success,Europe and Central Asia
Belgium,1946,1944,1949,Success,Europe and Central Asia
Belgium,1947,1944,1949,Success,Europe and Central Asia
Belgium,1948,1944,1949,Success,Europe and Central Asia
Belgium,1949,1944,1949,Success,Europe and Central Asia
Benin,1945,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1946,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1947,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1948,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1949,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1950,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1951,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1952,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1953,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1954,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1955,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1956,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1957,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1958,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1959,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1960,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1961,1945,1961,Failed liberalization,Sub-Saharan Africa
Benin,1968,1968,1969,Failed liberalization,Sub-Saharan Africa
Benin,1969,1968,1969,Failed liberalization,Sub-Saharan Africa
Benin,1980,1980,1995,Success,Sub-Saharan Africa
Benin,1981,1980,1995,Success,Sub-Saharan Africa
Benin,1982,1980,1995,Success,Sub-Saharan Africa
Benin,1983,1980,1995,Success,Sub-Saharan Africa
Benin,1984,1980,1995,Success,Sub-Saharan Africa
Benin,1985,1980,1995,Success,Sub-Saharan Africa
Benin,1986,1980,1995,Success,Sub-Saharan Africa
Benin,1987,1980,1995,Success,Sub-Saharan Africa
Benin,1988,1980,1995,Success,Sub-Saharan Africa
Benin,1989,1980,1995,Success,Sub-Saharan Africa
Benin,1990,1980,1995,Success,Sub-Saharan Africa
Benin,1991,1980,1995,Success,Sub-Saharan Africa
Benin,1992,1980,1995,Success,Sub-Saharan Africa
Benin,1993,1980,1995,Success,Sub-Saharan Africa
Benin,1994,1980,1995,Success,Sub-Saharan Africa
Benin,1995,1980,1995,Success,Sub-Saharan Africa
Bhutan,1988,1988,2013,Success,South Asia
Bhutan,1989,1988,2013,Success,South Asia
Bhutan,1990,1988,2013,Success,South Asia
Bhutan,1991,1988,2013,Success,South Asia
Bhutan,1992,1988,2013,Success,South Asia
Bhutan,1993,1988,2013,Success,South Asia
Bhutan,1994,1988,2013,Success,South Asia
Bhutan,1995,1988,2013,Success,South Asia
Bhutan,1996,1988,2013,Success,South Asia
Bhutan,1997,1988,2013,Success,South Asia
Bhutan,1998,1988,2013,Success,South Asia
Bhutan,1999,1988,2013,Success,South Asia
Bhutan,2000,1988,2013,Success,South Asia
Bhutan,2001,1988,2013,Success,South Asia
Bhutan,2002,1988,2013,Success,South Asia
Bhutan,2003,1988,2013,Success,South Asia
Bhutan,2004,1988,2013,Success,South Asia
Bhutan,2005,1988,2013,Success,South Asia
Bhutan,2006,1988,2013,Success,South Asia
Bhutan,2007,1988,2013,Success,South Asia
Bhutan,2008,1988,2013,Success,South Asia
Bhutan,2009,1988,2013,Success,South Asia
Bhutan,2010,1988,2013,Success,South Asia
Bhutan,2011,1988,2013,Success,South Asia
Bhutan,2012,1988,2013,Success,South Asia
Bhutan,2013,1988,2013,Success,South Asia
Bolivia,1952,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1953,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1954,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1955,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1956,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1957,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1958,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1959,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1960,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1961,1952,1961,Failed liberalization,Latin America and Caribbean
Bolivia,1982,1982,1985,Success,Latin America and Caribbean
Bolivia,1983,1982,1985,Success,Latin America and Caribbean
Bolivia,1984,1982,1985,Success,Latin America and Caribbean
Bolivia,1985,1982,1985,Success,Latin America and Caribbean
Bosnia and Herzegovina,1996,1996,1998,Success,Europe and Central Asia
Bosnia and Herzegovina,1997,1996,1998,Success,Europe and Central Asia
Bosnia and Herzegovina,1998,1996,1998,Success,Europe and Central Asia
Botswana,1960,1960,1969,Success,Sub-Saharan Africa
Botswana,1961,1960,1969,Success,Sub-Saharan Africa
Botswana,1962,1960,1969,Success,Sub-Saharan Africa
Botswana,1963,1960,1969,Success,Sub-Saharan Africa
Botswana,1964,1960,1969,Success,Sub-Saharan Africa
Botswana,1965,1960,1969,Success,Sub-Saharan Africa
Botswana,1966,1960,1969,Success,Sub-Saharan Africa
Botswana,1967,1960,1969,Success,Sub-Saharan Africa
Botswana,1968,1960,1969,Success,Sub-Saharan Africa
Botswana,1969,1960,1969,Success,Sub-Saharan Africa
Brazil,1945,1945,1950,Failed liberalization,Latin America and Caribbean
Brazil,1946,1945,1950,Failed liberalization,Latin America and Caribbean
Brazil,1947,1945,1950,Failed liberalization,Latin America and Caribbean
Brazil,1948,1945,1950,Failed liberalization,Latin America and Caribbean
Brazil,1949,1945,1950,Failed liberalization,Latin America and Caribbean
Brazil,1950,1945,1950,Failed liberalization,Latin America and Caribbean
Brazil,1967,1967,1989,Success,Latin America and Caribbean
Brazil,1968,1967,1989,Success,Latin America and Caribbean
Brazil,1969,1967,1989,Success,Latin America and Caribbean
Brazil,1970,1967,1989,Success,Latin America and Caribbean
Brazil,1971,1967,1989,Success,Latin America and Caribbean
Brazil,1972,1967,1989,Success,Latin America and Caribbean
Brazil,1973,1967,1989,Success,Latin America and Caribbean
Brazil,1974,1967,1989,Success,Latin America and Caribbean
Brazil,1975,1967,1989,Success,Latin America and Caribbean
Brazil,1976,1967,1989,Success,Latin America and Caribbean
Brazil,1977,1967,1989,Success,Latin America and Caribbean
Brazil,1978,1967,1989,Success,Latin America and Caribbean
Brazil,1979,1967,1989,Success,Latin America and Caribbean
Brazil,1980,1967,1989,Success,Latin America and Caribbean
Brazil,1981,1967,1989,Success,Latin America and Caribbean
Brazil,1982,1967,1989,Success,Latin America and Caribbean
Brazil,1983,1967,1989,Success,Latin America and Caribbean
Brazil,1984,1967,1989,Success,Latin America and Caribbean
Brazil,1985,1967,1989,Success,Latin America and Caribbean
Brazil,1986,1967,1989,Success,Latin America and Caribbean
Brazil,1987,1967,1989,Success,Latin America and Caribbean
Brazil,1988,1967,1989,Success,Latin America and Caribbean
Brazil,1989,1967,1989,Success,Latin America and Caribbean
Bulgaria,1990,1990,1991,Success,Europe and Central Asia
Bulgaria,1991,1990,1991,Success,Europe and Central Asia
Burkina Faso,1949,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1950,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1951,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1952,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1953,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1954,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1955,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1956,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1957,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1958,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1959,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1960,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1961,1949,1961,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1978,1978,1979,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1979,1978,1979,Failed liberalization,Sub-Saharan Africa
Burkina Faso,1991,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,1992,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,1993,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,1994,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,1995,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,1996,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,1997,1991,1997,Success,Sub-Saharan Africa
Burkina Faso,2016,2016,2018,Censored,Sub-Saharan Africa
Burkina Faso,2017,2016,2018,Censored,Sub-Saharan Africa
Burkina Faso,2018,2016,2018,Censored,Sub-Saharan Africa
Burma/Myanmar,1945,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1946,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1947,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1948,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1949,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1950,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1951,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1952,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,1953,1945,1953,Failed liberalization,East Asia and Pacific
Burma/Myanmar,2010,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burma/Myanmar,2011,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burma/Myanmar,2012,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burma/Myanmar,2013,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burma/Myanmar,2014,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burma/Myanmar,2015,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burma/Myanmar,2016,2010,2016,Stabilized electoral autocracy,East Asia and Pacific
Burundi,1982,1982,1985,Failed liberalization,Sub-Saharan Africa
Burundi,1983,1982,1985,Failed liberalization,Sub-Saharan Africa
Burundi,1984,1982,1985,Failed liberalization,Sub-Saharan Africa
Burundi,1985,1982,1985,Failed liberalization,Sub-Saharan Africa
Burundi,1992,1992,1995,Failed liberalization,Sub-Saharan Africa
Burundi,1993,1992,1995,Failed liberalization,Sub-Saharan Africa
Burundi,1994,1992,1995,Failed liberalization,Sub-Saharan Africa
Burundi,1995,1992,1995,Failed liberalization,Sub-Saharan Africa
Burundi,1999,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2000,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2001,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2002,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2003,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2004,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2005,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Burundi,2006,1999,2006,Stabilized electoral autocracy,Sub-Saharan Africa
Cambodia,1947,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1948,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1949,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1950,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1951,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1952,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1953,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1954,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1955,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1956,1947,1956,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1981,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1982,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1983,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1984,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1985,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1986,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1987,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1988,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1989,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1990,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1991,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1992,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1993,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cambodia,1994,1981,1994,Stabilized electoral autocracy,East Asia and Pacific
Cameroon,1980,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1981,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1982,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1983,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1984,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1985,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1986,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1987,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1988,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1989,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1990,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1991,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1992,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1993,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1994,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1995,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1996,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1997,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1998,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,1999,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2000,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2001,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2002,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2003,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2004,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2005,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2006,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2007,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2008,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2009,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2010,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2011,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2012,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2013,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2014,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Cameroon,2015,1980,2015,Stabilized electoral autocracy,Sub-Saharan Africa
Canada,1920,1920,1921,Success,North America
Canada,1921,1920,1921,Success,North America
Cape Verde,1972,1972,1975,Failed liberalization,Sub-Saharan Africa
Cape Verde,1973,1972,1975,Failed liberalization,Sub-Saharan Africa
Cape Verde,1974,1972,1975,Failed liberalization,Sub-Saharan Africa
Cape Verde,1975,1972,1975,Failed liberalization,Sub-Saharan Africa
Cape Verde,1980,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1981,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1982,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1983,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1984,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1985,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1986,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1987,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1988,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1989,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1990,1980,1991,Success,Sub-Saharan Africa
Cape Verde,1991,1980,1991,Success,Sub-Saharan Africa
Central African Republic,1946,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1947,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1948,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1949,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1950,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1951,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1952,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1953,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1954,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1955,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1956,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1957,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1958,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1959,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1960,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1961,1946,1961,Failed liberalization,Sub-Saharan Africa
Central African Republic,1987,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1988,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1989,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1990,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1991,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1992,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1993,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1994,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1995,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1996,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1997,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1998,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,1999,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,2000,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,2001,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,2002,1987,2002,Failed liberalization,Sub-Saharan Africa
Central African Republic,2005,2005,2006,Failed liberalization,Sub-Saharan Africa
Central African Republic,2006,2005,2006,Failed liberalization,Sub-Saharan Africa
